,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_Temp,Wind_Speed
0,Clyde River,56,CA,1554598800,92,70.47,-68.59,6.8,21.92
1,Albany,20,US,1554601225,61,42.65,-73.75,48.2,4.38
2,Bluff,0,AU,1554601522,43,-23.58,149.07,84.9,10.54
3,Punta Arenas,75,CL,1554600148,81,-53.16,-70.91,44.6,36.91
4,Gwadar,8,PK,1554601522,74,25.12,62.33,78.6,6.96
5,Makakilo City,1,US,1554601508,58,21.35,-158.09,84.2,12.75
6,Bathsheba,20,BB,1554598800,65,13.22,-59.52,78.8,21.92
7,Thompson,75,CA,1554598800,38,55.74,-97.86,24.8,9.17
8,New Norfolk,75,AU,1554601221,45,-42.78,147.06,68.0,13.87
9,Kavieng,24,PG,1554601523,100,-2.57,150.8,83.55,4.16
10,Sao Joao da Barra,32,BR,1554601523,95,-21.64,-41.05,81.93,23.06
11,Nador,20,MA,1554598800,62,35.17,-2.93,59.0,11.41
12,Kapaa,75,US,1554601416,65,22.08,-159.32,80.6,14.99
13,Mataura,0,NZ,1554601205,55,-46.19,168.86,61.0,3.94
14,Kodiak,1,US,1554601509,79,39.95,-94.76,69.8,14.99
15,Puerto Ayora,0,EC,1554600642,92,-0.74,-90.35,79.0,6.73
16,Bereda,92,ES,1554601444,93,43.27,-7.54,46.99,4.7
17,Desbiens,20,CA,1554601024,80,48.42,-71.95,34.0,10.29
18,Busselton,0,AU,1554601517,45,-33.64,115.35,66.99,7.74
19,Jamestown,0,AU,1554601241,36,-33.21,138.6,73.65,18.81
20,Lazaro Cardenas,40,MX,1554598140,19,28.39,-105.62,69.8,9.17
21,Shimoda,0,JP,1554601512,55,34.7,138.93,72.0,5.82
22,Coihaique,0,CL,1554598800,76,-45.58,-72.07,51.8,2.24
23,Atar,0,MR,1554601526,53,20.52,-13.05,52.95,5.61
24,Umm Kaddadah,0,SD,1554601526,26,13.6,26.69,60.78,5.39
25,Avarua,36,CK,1554598800,65,-21.21,-159.78,82.4,12.75
26,Yulara,0,AU,1554598800,27,-25.24,130.99,86.0,11.41
27,Port Macquarie,0,AU,1554601505,51,-31.43,152.91,86.0,2.24
28,Port Hardy,90,CA,1554598800,93,50.7,-127.42,44.6,12.75
29,Prince Rupert,20,CA,1554598800,43,54.32,-130.32,55.4,10.29
30,Hithadhoo,8,MV,1554601256,100,-0.6,73.08,84.45,6.17
31,Fallon,75,US,1554598560,39,46.84,-105.12,62.6,5.82
32,Lagoa,40,PT,1554601523,82,37.14,-8.45,55.4,14.99
33,Rikitea,56,PF,1554601248,100,-23.12,-134.97,78.06,13.0
34,Cidreira,80,BR,1554601528,95,-30.17,-50.22,69.96,8.63
35,Sabya,0,YE,1554601528,89,16.19,43.1,69.42,0.58
36,Butaritari,92,KI,1554601528,100,3.07,172.79,79.77,8.41
37,Sabha,0,LY,1554601508,55,27.03,14.43,61.05,3.94
38,Broome,80,GB,1554601505,100,52.47,1.45,46.0,6.93
39,Rawson,0,AR,1554601529,47,-43.3,-65.11,63.3,8.41
40,Tucuman,0,PE,1554601529,88,-17.17,-70.89,52.05,2.26
41,Muros,40,ES,1554601514,93,42.77,-9.06,48.99,2.24
42,Rio Cuarto,0,AR,1554601529,63,-33.13,-64.35,57.18,11.21
43,Cape Town,0,ZA,1554601091,82,-33.93,18.42,63.0,11.41
44,Progreso,48,UY,1554600685,77,-34.68,-56.22,64.0,3.6
45,San Borja,36,BO,1554601530,72,-14.86,-66.75,63.75,2.26
46,Byron Bay,40,AU,1554601457,57,-28.65,153.62,82.99,11.41
47,Apiai,92,BR,1554601530,98,-24.51,-48.84,68.43,1.92
48,Nobres,76,BR,1554601530,90,-14.72,-56.34,68.07,3.6
49,Ushuaia,90,AR,1554598800,100,-54.81,-68.31,35.6,6.93
50,Belyy Yar,40,RU,1554598800,68,53.6,91.39,33.8,8.95
51,Port Alfred,12,ZA,1554601330,92,-33.59,26.89,61.0,15.57
52,Flinders,0,AU,1554601507,47,-34.58,150.85,81.0,5.82
53,Aliwal North,44,ZA,1554601531,90,-30.69,26.71,50.16,2.93
54,Vaini,0,IN,1554598800,88,15.34,74.49,69.8,3.04
55,Imbituba,75,BR,1554598800,94,-28.24,-48.67,69.8,4.7
56,Kaitangata,0,NZ,1554601158,55,-46.28,169.85,59.0,13.0
57,Dicabisagan,0,PH,1554601532,86,17.08,122.42,82.83,6.29
58,Canar,90,EC,1554598800,87,-2.55,-78.93,59.0,8.05
59,Lebu,0,ET,1554601607,83,8.96,38.73,45.57,2.71
60,Mangrol,48,IN,1554598800,32,25.33,76.51,84.2,4.7
61,Kogon,0,UZ,1554598800,82,39.73,64.54,55.4,11.41
62,Hobart,75,AU,1554601575,45,-42.88,147.33,66.99,13.87
63,Manavalakurichi,20,IN,1554598800,79,8.13,77.3,84.2,5.82
64,Villarrica,0,CL,1554601589,93,-39.28,-72.23,50.0,2.24
65,Ostrovnoy,68,RU,1554601609,98,68.05,39.51,25.68,3.49
66,Alofi,56,NU,1554598800,79,-19.06,-169.92,86.0,6.93
67,Ariquemes,8,BR,1554601609,83,-9.91,-63.03,71.04,4.16
68,Providencia,12,CO,1554601609,87,1.24,-77.6,51.96,2.15
69,Edeia,32,BR,1554601610,96,-17.34,-49.93,70.95,3.27
